"id","code","name","description","order_index","is_active","created_at"
"1","BRAVITO","Datos Personales","Información básica del usuario: nombre, edad, contacto, ubicación, etc.","0","true","2026-01-27 21:56:04.466543"
"2","MILLON","Personalidad (Millon/MIPS)","Test de personalidad basado en el Inventario Millon de Estilos de Personalidad. 187 preguntas tipo verdadero/falso.","1","true","2026-01-27 21:56:04.466543"
"3","RIASEC","Intereses Vocacionales (RIASEC)","Modelo Holland de intereses ocupacionales: Realista, Investigador, Artístico, Social, Emprendedor, Convencional.","2","true","2026-01-27 21:56:04.466543"
"4","HERRMANN","Dominancia Cerebral (Herrmann)","Test de dominancia cerebral basado en el modelo de los 4 cuadrantes de Ned Herrmann.","3","true","2026-01-27 21:56:04.466543"
"5","GARDNER","Inteligencias Múltiples (Gardner)","Evaluación de las 8 inteligencias según Howard Gardner: lingüística, lógico-matemática, espacial, musical, corporal, interpersonal, intrapersonal, naturalista.","4","true","2026-01-27 21:56:04.466543"
"6","PROYECTIVA","Preguntas Proyectivas","Completar frases incompletas para análisis de personalidad y valores mediante NLP.","5","true","2026-01-27 21:56:04.466543"
"7","AUTODESC","Auto-descubrimiento de Talentos","Identificación de fortalezas, habilidades naturales y actividades que generan flow.","6","true","2026-01-27 21:56:04.466543"
"8","APRENDIZAJE","Estilo de Aprendizaje (VAK)","Identificación del estilo de aprendizaje predominante: Visual, Auditivo o Kinestésico.","7","true","2026-01-27 21:56:04.466543"
"9","LIFESTYLE","Estilo de Vida y Valores","Definición de valores personales, límites laborales y preferencias de trabajo.","8","true","2026-01-27 21:56:04.466543"
"10","FUTURO","Proyección de Futuro","Visualización de metas, sueños y aspiraciones a corto, mediano y largo plazo.","9","true","2026-01-27 21:56:04.466543"
"11","FAMILIA","Contexto Familiar","Información sobre la familia nuclear: carreras, profesiones, mandatos y herencia vocacional.","10","true","2026-01-27 21:56:04.466543"
"12","UNIVERSIDAD","Scan Universitario","Filtros duros para exclusión de universidades: ubicación, presupuesto, modalidad, etc.","11","true","2026-01-27 21:56:04.466543"